route,start_stop_code_lbsl,end_stop_code_lbsl
53,26212,27400
53,27400,2574
53,2574,26746
53,26746,26741
53,26741,BP599
53,BP599,BP128
53,BP128,1171
53,1171,448
53,448,394
53,394,26727
53,26727,86
53,86,2567
53,2567,33101
53,33101,BP1237
53,BP1237,4631
53,4631,13715
53,13715,486
53,486,BP4896
53,BP4896,13848
53,13848,18845
53,18845,391
53,391,18843
53,18843,2866
53,2866,19622
53,19622,27879
53,27879,18769
53,18769,18767
53,18767,13532
53,13532,18765
53,18765,18763
53,18763,18761
53,18761,18759
53,18759,18756
53,18756,BP5479
53,BP5479,35563
53,35563,18753
53,18753,29605
53,29605,29606
53,29606,1826
53,1826,18746
53,18746,18744
53,18744,27987
53,27987,27985
53,27985,27983
53,27983,29447
G1,37150,1833
G1,1833,15100
G1,15100,4868
G1,4868,91240
G1,91240,SL37
G1,SL37,12803
G1,12803,9271
G1,9271,H0069
G1,H0069,H1193
G1,H1193,BP5176
G1,BP5176,H1195
G1,H1195,H1199
G1,H1199,H1201
G1,H1201,H1203
G1,H1203,8817
G1,8817,25286
G1,25286,260
G1,260,25636
G1,25636,25634
G1,25634,BP5016
G1,BP5016,W24
G1,W24,W23
G1,W23,BP5353
G1,BP5353,W25
G1,W25,BP818
G1,BP818,BP5599
G1,BP5599,8822
G1,8822,8824
G1,8824,8827
G1,8827,BP5442
G1,BP5442,BP5424
G1,BP5424,12739
G1,12739,12741
G1,12741,BP2295
G1,BP2295,12743
G1,12743,12745
G1,12745,12747
G1,12747,2315
G1,2315,12850
G1,12850,12852
G1,12852,12854
G1,12854,12855
G1,12855,1087
G1,1087,BP5585
G1,BP5585,H1208
G1,H1208,H1210
G1,H1210,12862
G1,12862,12856
G1,12856,1414
G1,1414,431
G1,431,2350
G1,2350,BP5220
103,BP5723,20479
103,20479,18446
103,18446,20423
103,20423,18444
103,18444,18442
103,18442,25154
103,25154,20517
103,20517,18317
103,18317,26887
103,26887,26888
103,26888,BP270
103,BP270,18311
103,18311,18309
103,18309,18307
103,18307,18305
103,18305,18301
103,18301,18299
103,18299,18297
103,18297,9821
103,9821,9822
103,9822,19266
103,19266,18348
103,18348,18350
103,18350,18295
103,18295,18293
103,18293,18291
103,18291,18289
103,18289,BP240
103,BP240,34121
103,34121,34116
103,34116,34141
103,34141,18245
103,18245,4350
103,4350,18287
103,18287,18285
103,18285,18283
103,18283,18281
103,18281,27998
103,27998,29001
103,29001,29003
103,29003,35935
103,35935,36733
103,36733,27480
303,R0790,29833
303,29833,6071
303,6071,2990
303,2990,M27
303,M27,M28
303,M28,33499
303,33499,33500
303,33500,33502
303,33502,33152
303,33152,33771
303,33771,M31
303,M31,BP3880
303,BP3880,M32
303,M32,M33
303,M33,M34
303,M34,M35
303,M35,M36
303,M36,34608
303,34608,34610
303,34610,34609
303,34609,17037
303,17037,17039
303,17039,29835
303,29835,M37
303,M37,6060
303,6060,M38
